metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
coherentBuildsBeatNone_orc_violence,57.5000,58.0000,,54.7917,57.7083,56.2500,59.7917,53.9583,60.8333,60.6250,56.0417
coherentBuildsBeatNone_elf_tiki_taka,65.8073,58.0000,,64.7917,67.9167,64.1667,69.1667,61.8750,68.9583,62.2917,67.2917
coherentBuildsBeatNone_human_wall,88.4896,58.0000,,90.0000,86.2500,88.3333,89.5833,85.8333,90.6250,88.9583,88.3333
coherentBuildsBeatNone_human_counter,76.8229,58.0000,,79.5833,77.7083,78.1250,76.2500,77.0833,73.5417,77.5000,74.7917
coherentBuildsBeatNone_orc_mob,58.5156,58.0000,,55.0000,59.1667,56.6667,61.8750,58.3333,62.0833,58.1250,56.8750
coherentBuildsBeatNone_dwarf_fortress,72.7344,58.0000,,72.9167,71.6667,74.5833,71.4583,72.9167,71.4583,73.3333,73.5417
coherentBuildsBeatNone_orc_giants,60.6250,58.0000,,62.9167,60.0000,61.4583,61.6667,59.5833,58.3333,58.5417,62.5000
coherentBuildsBeatNone_elf_bulwark,77.0312,58.0000,,77.7083,79.3750,73.5417,76.4583,75.6250,76.8750,77.0833,79.5833
coherentBuildsBeatNone_undead_grind,71.5365,58.0000,,66.8750,68.7500,72.0833,73.5417,71.4583,72.2917,72.5000,74.7917
badBuildsLoseToNone_orc_misplaced,44.3490,10.0000,45.0000,45.8333,45.6250,40.6250,44.7917,43.3333,44.5833,44.1667,45.8333
badBuildsLoseToNone_elf_brawler,43.6198,10.0000,45.0000,41.4583,47.2917,43.9583,41.6667,42.9167,44.7917,42.0833,44.7917
badBuildsLoseToNone_human_scattered,31.4844,10.0000,45.0000,28.9583,34.5833,32.0833,32.5000,32.2917,31.2500,30.8333,29.3750
badBuildsLoseToNone_elf_out_of_zone,42.4479,10.0000,45.0000,43.1250,44.3750,37.7083,41.2500,40.8333,43.1250,41.2500,47.9167
